name,annotations,codepoints,emoji,synonyms
man scientist: medium skin tone,"biologist, chemist, engineer, man, mathematician, medium skin tone, physicist, scientist","[128104, 127997, 8205, 128300]",,"scientist, biologist, chemist, engineer, physicist, researcher, scholar"
man scientist: medium-dark skin tone,"biologist, chemist, engineer, man, mathematician, medium-dark skin tone, physicist, scientist","[128104, 127998, 8205, 128300]",,"scientist, biologist, chemist, engineer, physicist, researcher, scholar"
man scientist: dark skin tone,"biologist, chemist, dark skin tone, engineer, man, mathematician, physicist, scientist","[128104, 127999, 8205, 128300]",,"scientist, biologist, chemist, engineer, physicist, researcher, scholar"
woman scientist,"biologist, chemist, engineer, mathematician, physicist, scientist, woman","[128105, 8205, 128300]",,"scientist, biologist, chemist, engineer, physicist, researcher, scholar"
woman scientist: light skin tone,"biologist, chemist, engineer, light skin tone, mathematician, physicist, scientist, woman","[128105, 127995, 8205, 128300]",,"scientist, biologist, chemist, engineer, physicist, researcher, scholar"
woman scientist: medium-light skin tone,"biologist, chemist, engineer, mathematician, medium-light skin tone, physicist, scientist, woman","[128105, 127996, 8205, 128300]",,"scientist, biologist, chemist, engineer, physicist, researcher, scholar"
woman scientist: medium skin tone,"biologist, chemist, engineer, mathematician, medium skin tone, physicist, scientist, woman","[128105, 127997, 8205, 128300]",,"scientist, biologist, chemist, engineer, physicist, researcher, scholar"
woman scientist: medium-dark skin tone,"biologist, chemist, engineer, mathematician, medium-dark skin tone, physicist, scientist, woman","[128105, 127998, 8205, 128300]",,"scientist, biologist, chemist, engineer, physicist, researcher, scholar"
woman scientist: dark skin tone,"biologist, chemist, dark skin tone, engineer, mathematician, physicist, scientist, woman","[128105, 127999, 8205, 128300]",,"scientist, biologist, chemist, engineer, physicist, researcher, scholar"
man technologist,"coder, developer, inventor, man, software, technologist","[128104, 8205, 128187]",,"coder, developer, inventor, technologist, engineer, maker"
man technologist: light skin tone,"coder, developer, inventor, light skin tone, man, software, technologist","[128104, 127995, 8205, 128187]",,"coder, developer, inventor, technologist, engineer, maker"
man technologist: medium-light skin tone,"coder, developer, inventor, man, medium-light skin tone, software, technologist","[128104, 127996, 8205, 128187]",,"coder, developer, inventor, technologist, engineer, maker"
man technologist: medium skin tone,"coder, developer, inventor, man, medium skin tone, software, technologist","[128104, 127997, 8205, 128187]",,"coder, developer, inventor, technologist, engineer, maker"
man technologist: medium-dark skin tone,"coder, developer, inventor, man, medium-dark skin tone, software, technologist","[128104, 127998, 8205, 128187]",,"coder, developer, inventor, technologist, engineer, maker"
man technologist: dark skin tone,"coder, dark skin tone, developer, inventor, man, software, technologist","[128104, 127999, 8205, 128187]",,"coder, developer, inventor, technologist, engineer, maker"
woman technologist,"coder, developer, inventor, software, technologist, woman","[128105, 8205, 128187]",,"coder, developer, inventor, technologist, engineer, maker"
woman technologist: light skin tone,"coder, developer, inventor, light skin tone, software, technologist, woman","[128105, 127995, 8205, 128187]",,"coder, developer, inventor, technologist, engineer, maker"
woman technologist: medium-light skin tone,"coder, developer, inventor, medium-light skin tone, software, technologist, woman","[128105, 127996, 8205, 128187]",,"coder, developer, inventor, technologist, engineer, maker"
woman technologist: medium skin tone,"coder, developer, inventor, medium skin tone, software, technologist, woman","[128105, 127997, 8205, 128187]",,"coder, developer, inventor, technologist, engineer, maker"
woman technologist: medium-dark skin tone,"coder, developer, inventor, medium-dark skin tone, software, technologist, woman","[128105, 127998, 8205, 128187]",,"coder, developer, inventor, technologist, engineer, maker"
woman technologist: dark skin tone,"coder, dark skin tone, developer, inventor, software, technologist, woman","[128105, 127999, 8205, 128187]",,"coder, developer, inventor, technologist, engineer, maker"
man singer,"actor, entertainer, man, rock, singer, star","[128104, 8205, 127908]",,"actor, entertainer, rock, singer, star, diva"
man singer: light skin tone,"actor, entertainer, light skin tone, man, rock, singer, star","[128104, 127995, 8205, 127908]",,"actor, entertainer, rock, singer, star, diva"
man singer: medium-light skin tone,"actor, entertainer, man, medium-light skin tone, rock, singer, star","[128104, 127996, 8205, 127908]",,"actor, entertainer, rock, singer, star, diva"
man singer: medium skin tone,"actor, entertainer, man, medium skin tone, rock, singer, star","[128104, 127997, 8205, 127908]",,"actor, entertainer, rock, singer, star, diva"
man singer: medium-dark skin tone,"actor, entertainer, man, medium-dark skin tone, rock, singer, star","[128104, 127998, 8205, 127908]",,"actor, entertainer, rock, singer, star, diva"
man singer: dark skin tone,"actor, dark skin tone, entertainer, man, rock, singer, star","[128104, 127999, 8205, 127908]",,"actor, entertainer, rock, singer, star, diva"
woman singer,"actor, entertainer, rock, singer, star, woman","[128105, 8205, 127908]",,"actor, entertainer, rock, singer, star, diva"
woman singer: light skin tone,"actor, entertainer, light skin tone, rock, singer, star, woman","[128105, 127995, 8205, 127908]",,"actor, entertainer, rock, singer, star, diva"
woman singer: medium-light skin tone,"actor, entertainer, medium-light skin tone, rock, singer, star, woman","[128105, 127996, 8205, 127908]",,"actor, entertainer, rock, singer, star, diva"
woman singer: medium skin tone,"actor, entertainer, medium skin tone, rock, singer, star, woman","[128105, 127997, 8205, 127908]",,"actor, entertainer, rock, singer, star, diva"
woman singer: medium-dark skin tone,"actor, entertainer, medium-dark skin tone, rock, singer, star, woman","[128105, 127998, 8205, 127908]",,"actor, entertainer, rock, singer, star, diva"
woman singer: dark skin tone,"actor, dark skin tone, entertainer, rock, singer, star, woman","[128105, 127999, 8205, 127908]",,"actor, entertainer, rock, singer, star, diva"
man artist,"artist, man, palette","[128104, 8205, 127912]",,"artist, painter, palette"
man artist: light skin tone,"artist, light skin tone, man, palette","[128104, 127995, 8205, 127912]",,"artist, painter, palette"
man artist: medium-light skin tone,"artist, man, medium-light skin tone, palette","[128104, 127996, 8205, 127912]",,"artist, painter, palette"
man artist: medium skin tone,"artist, man, medium skin tone, palette","[128104, 127997, 8205, 127912]",,"artist, painter, palette"
man artist: medium-dark skin tone,"artist, man, medium-dark skin tone, palette","[128104, 127998, 8205, 127912]",,"artist, painter, palette"
man artist: dark skin tone,"artist, dark skin tone, man, palette","[128104, 127999, 8205, 127912]",,"artist, painter, palette"
woman artist,"artist, palette, woman","[128105, 8205, 127912]",,"artist, painter, palette"
woman artist: light skin tone,"artist, light skin tone, palette, woman","[128105, 127995, 8205, 127912]",,"artist, painter, palette"
woman artist: medium-light skin tone,"artist, medium-light skin tone, palette, woman","[128105, 127996, 8205, 127912]",,"artist, painter, palette"
woman artist: medium skin tone,"artist, medium skin tone, palette, woman","[128105, 127997, 8205, 127912]",,"artist, painter, palette"
woman artist: medium-dark skin tone,"artist, medium-dark skin tone, palette, woman","[128105, 127998, 8205, 127912]",,"artist, painter, palette"
woman artist: dark skin tone,"artist, dark skin tone, palette, woman","[128105, 127999, 8205, 127912]",,"artist, painter, palette"
man pilot,"man, pilot, plane","[128104, 8205, 9992, 65039]",,pilot
man pilot: light skin tone,"light skin tone, man, pilot, plane","[128104, 127995, 8205, 9992, 65039]",,pilot
man pilot: medium-light skin tone,"man, medium-light skin tone, pilot, plane","[128104, 127996, 8205, 9992, 65039]",,pilot
man pilot: medium skin tone,"man, medium skin tone, pilot, plane","[128104, 127997, 8205, 9992, 65039]",,pilot
man pilot: medium-dark skin tone,"man, medium-dark skin tone, pilot, plane","[128104, 127998, 8205, 9992, 65039]",,pilot
man pilot: dark skin tone,"dark skin tone, man, pilot, plane","[128104, 127999, 8205, 9992, 65039]",,pilot
woman pilot,"pilot, plane, woman","[128105, 8205, 9992, 65039]",,pilot
woman pilot: light skin tone,"light skin tone, pilot, plane, woman","[128105, 127995, 8205, 9992, 65039]",,pilot
woman pilot: medium-light skin tone,"medium-light skin tone, pilot, plane, woman","[128105, 127996, 8205, 9992, 65039]",,pilot
woman pilot: medium skin tone,"medium skin tone, pilot, plane, woman","[128105, 127997, 8205, 9992, 65039]",,pilot
woman pilot: medium-dark skin tone,"medium-dark skin tone, pilot, plane, woman","[128105, 127998, 8205, 9992, 65039]",,pilot
woman pilot: dark skin tone,"dark skin tone, pilot, plane, woman","[128105, 127999, 8205, 9992, 65039]",,pilot
man astronaut,"astronaut, man, rocket","[128104, 8205, 128640]",,"astronaut, spaceman"
man astronaut: light skin tone,"astronaut, light skin tone, man, rocket","[128104, 127995, 8205, 128640]",,"astronaut, spaceman"
man astronaut: medium-light skin tone,"astronaut, man, medium-light skin tone, rocket","[128104, 127996, 8205, 128640]",,"astronaut, spaceman"
man astronaut: medium skin tone,"astronaut, man, medium skin tone, rocket","[128104, 127997, 8205, 128640]",,"astronaut, spaceman"
man astronaut: medium-dark skin tone,"astronaut, man, medium-dark skin tone, rocket","[128104, 127998, 8205, 128640]",,"astronaut, spaceman"
man astronaut: dark skin tone,"astronaut, dark skin tone, man, rocket","[128104, 127999, 8205, 128640]",,"astronaut, spaceman"
woman astronaut,"astronaut, rocket, woman","[128105, 8205, 128640]",,"astronaut, spacewoman"
woman astronaut: light skin tone,"astronaut, light skin tone, rocket, woman","[128105, 127995, 8205, 128640]",,"astronaut, spacewoman"
woman astronaut: medium-light skin tone,"astronaut, medium-light skin tone, rocket, woman","[128105, 127996, 8205, 128640]",,"astronaut, spacewoman"
woman astronaut: medium skin tone,"astronaut, medium skin tone, rocket, woman","[128105, 127997, 8205, 128640]",,"astronaut, spacewoman"
woman astronaut: medium-dark skin tone,"astronaut, medium-dark skin tone, rocket, woman","[128105, 127998, 8205, 128640]",,"astronaut, spacewoman"
woman astronaut: dark skin tone,"astronaut, dark skin tone, rocket, woman","[128105, 127999, 8205, 128640]",,"astronaut, spacewoman"
man firefighter,"firefighter, firetruck, man","[128104, 8205, 128658]",,firefighter
man firefighter: light skin tone,"firefighter, firetruck, light skin tone, man","[128104, 127995, 8205, 128658]",,firefighter
man firefighter: medium-light skin tone,"firefighter, firetruck, man, medium-light skin tone","[128104, 127996, 8205, 128658]",,firefighter
man firefighter: medium skin tone,"firefighter, firetruck, man, medium skin tone","[128104, 127997, 8205, 128658]",,firefighter
man firefighter: medium-dark skin tone,"firefighter, firetruck, man, medium-dark skin tone","[128104, 127998, 8205, 128658]",,firefighter
man firefighter: dark skin tone,"dark skin tone, firefighter, firetruck, man","[128104, 127999, 8205, 128658]",,firefighter
woman firefighter,"firefighter, firetruck, woman","[128105, 8205, 128658]",,firefighter
woman firefighter: light skin tone,"firefighter, firetruck, light skin tone, woman","[128105, 127995, 8205, 128658]",,firefighter
woman firefighter: medium-light skin tone,"firefighter, firetruck, medium-light skin tone, woman","[128105, 127996, 8205, 128658]",,firefighter
woman firefighter: medium skin tone,"firefighter, firetruck, medium skin tone, woman","[128105, 127997, 8205, 128658]",,firefighter
woman firefighter: medium-dark skin tone,"firefighter, firetruck, medium-dark skin tone, woman","[128105, 127998, 8205, 128658]",,firefighter
woman firefighter: dark skin tone,"dark skin tone, firefighter, firetruck, woman","[128105, 127999, 8205, 128658]",,firefighter
police officer,"cop, officer, police",[128110],👮,"cop, officer, police, police offier"
police officer: light skin tone,"cop, light skin tone, officer, police","[128110, 127995]",,"cop, officer, police, police offier"
police officer: medium-light skin tone,"cop, medium-light skin tone, officer, police","[128110, 127996]",,"cop, officer, police, police offier"
police officer: medium skin tone,"cop, medium skin tone, officer, police","[128110, 127997]",,"cop, officer, police, police offier"
police officer: medium-dark skin tone,"cop, medium-dark skin tone, officer, police","[128110, 127998]",,"cop, officer, police, police offier"
police officer: dark skin tone,"cop, dark skin tone, officer, police","[128110, 127999]",,"cop, officer, police, police offier"
man police officer,"cop, man, officer, police","[128110, 8205, 9794, 65039]",,"cop, officer, police, police offier"
man police officer: light skin tone,"cop, light skin tone, man, officer, police","[128110, 127995, 8205, 9794, 65039]",,"cop, officer, police, police offier"
